Version Size Threads Time
Sequential 100 1 0.000010
Parallel 100 1 0.000016
Builtin 100 1 0.000021
Sequential 100 1 0.000009
Parallel 100 1 0.000014
Builtin 100 1 0.000019
Sequential 100 1 0.000010
Parallel 100 1 0.000016
Builtin 100 1 0.000021
Sequential 100 1 0.000009
Parallel 100 1 0.000014
Builtin 100 1 0.000035
Sequential 100 1 0.000010
Parallel 100 1 0.000016
Builtin 100 1 0.000019
Sequential 100 1 0.000009
Parallel 100 1 0.000015
Builtin 100 1 0.000019
Sequential 100 1 0.000009
Parallel 100 1 0.000015
Builtin 100 1 0.000019
Sequential 100 1 0.000010
Parallel 100 1 0.000014
Builtin 100 1 0.000020
Sequential 100 1 0.000010
Parallel 100 1 0.000016
Builtin 100 1 0.000020
Sequential 100 1 0.000008
Parallel 100 1 0.000013
Builtin 100 1 0.000018
Sequential 1000 1 0.000112
Parallel 1000 1 0.000149
Builtin 1000 1 0.000303
Sequential 1000 1 0.000112
Parallel 1000 1 0.000148
Builtin 1000 1 0.000273
Sequential 1000 1 0.000111
Parallel 1000 1 0.000149
Builtin 1000 1 0.000294
Sequential 1000 1 0.000112
Parallel 1000 1 0.000153
Builtin 1000 1 0.000282
Sequential 1000 1 0.000111
Parallel 1000 1 0.000150
Builtin 1000 1 0.000298
Sequential 1000 1 0.000111
Parallel 1000 1 0.000149
Builtin 1000 1 0.000283
Sequential 1000 1 0.000105
Parallel 1000 1 0.000137
Builtin 1000 1 0.000256
Sequential 1000 1 0.000106
Parallel 1000 1 0.000138
Builtin 1000 1 0.000250
Sequential 1000 1 0.000104
Parallel 1000 1 0.000139
Builtin 1000 1 0.000253
Sequential 1000 1 0.000104
Parallel 1000 1 0.000138
Builtin 1000 1 0.000263
Sequential 10000 1 0.001367
Parallel 10000 1 0.001600
Builtin 10000 1 0.002420
Sequential 10000 1 0.001262
Parallel 10000 1 0.001517
Builtin 10000 1 0.002274
Sequential 10000 1 0.001244
Parallel 10000 1 0.001523
Builtin 10000 1 0.002142
Sequential 10000 1 0.001198
Parallel 10000 1 0.001415
Builtin 10000 1 0.002146
Sequential 10000 1 0.001172
Parallel 10000 1 0.001403
Builtin 10000 1 0.002020
Sequential 10000 1 0.001118
Parallel 10000 1 0.001333
Builtin 10000 1 0.002047
Sequential 10000 1 0.001110
Parallel 10000 1 0.001349
Builtin 10000 1 0.001924
Sequential 10000 1 0.001065
Parallel 10000 1 0.001274
Builtin 10000 1 0.001932
Sequential 10000 1 0.000998
Parallel 10000 1 0.001199
Builtin 10000 1 0.001846
Sequential 10000 1 0.000995
Parallel 10000 1 0.001222
Builtin 10000 1 0.001825
Sequential 100000 1 0.011961
Parallel 100000 1 0.013091
Builtin 100000 1 0.019272
Sequential 100000 1 0.011277
Parallel 100000 1 0.012525
Builtin 100000 1 0.016247
Sequential 100000 1 0.008374
Parallel 100000 1 0.009397
Builtin 100000 1 0.013902
Sequential 100000 1 0.007744
Parallel 100000 1 0.008767
Builtin 100000 1 0.012925
Sequential 100000 1 0.007329
Parallel 100000 1 0.008190
Builtin 100000 1 0.012372
Sequential 100000 1 0.007053
Parallel 100000 1 0.008036
Builtin 100000 1 0.012331
Sequential 100000 1 0.007028
Parallel 100000 1 0.008208
Builtin 100000 1 0.012367
Sequential 100000 1 0.007146
Parallel 100000 1 0.008345
Builtin 100000 1 0.012740
Sequential 100000 1 0.007150
Parallel 100000 1 0.007995
Builtin 100000 1 0.012277
Sequential 100000 1 0.007068
Parallel 100000 1 0.008082
Builtin 100000 1 0.012448
Sequential 1000000 1 0.082122
Parallel 1000000 1 0.092668
Builtin 1000000 1 0.150527
Sequential 1000000 1 0.120562
Parallel 1000000 1 0.098556
Builtin 1000000 1 0.149372
Sequential 1000000 1 0.120381
Parallel 1000000 1 0.099374
Builtin 1000000 1 0.149035
Sequential 1000000 1 0.135609
Parallel 1000000 1 0.101521
Builtin 1000000 1 0.149231
Sequential 1000000 1 0.147667
Parallel 1000000 1 0.107973
Builtin 1000000 1 0.148231
Sequential 1000000 1 0.082471
Parallel 1000000 1 0.092579
Builtin 1000000 1 0.148278
Sequential 1000000 1 0.145924
Parallel 1000000 1 0.107699
Builtin 1000000 1 0.149197
Sequential 1000000 1 0.145350
Parallel 1000000 1 0.107934
Builtin 1000000 1 0.148198
Sequential 1000000 1 0.135924
Parallel 1000000 1 0.104334
Builtin 1000000 1 0.149327
Sequential 1000000 1 0.146961
Parallel 1000000 1 0.107567
Builtin 1000000 1 0.148763
Sequential 10000000 1 0.963970
Parallel 10000000 1 1.061690
Builtin 10000000 1 1.744241
Sequential 10000000 1 0.959316
Parallel 10000000 1 1.080603
Builtin 10000000 1 1.739915
Sequential 10000000 1 0.954174
Parallel 10000000 1 1.061745
Builtin 10000000 1 1.743326
Sequential 10000000 1 0.968102
Parallel 10000000 1 1.056616
Builtin 10000000 1 1.733997
Sequential 10000000 1 0.963420
Parallel 10000000 1 1.074240
Builtin 10000000 1 1.731797
Sequential 10000000 1 0.969801
Parallel 10000000 1 1.069764
Builtin 10000000 1 1.742209
Sequential 10000000 1 0.956418
Parallel 10000000 1 1.055891
Builtin 10000000 1 1.730356
Sequential 10000000 1 0.959608
Parallel 10000000 1 1.054234
Builtin 10000000 1 1.731586
Sequential 10000000 1 0.966417
Parallel 10000000 1 1.059232
Builtin 10000000 1 1.733411
Sequential 10000000 1 0.972799
Parallel 10000000 1 1.064902
Builtin 10000000 1 1.738227
Sequential 100000000 1 10.975435
Parallel 100000000 1 12.079887
Builtin 100000000 1 20.245271
Sequential 100000000 1 11.149288
Parallel 100000000 1 12.283064
Builtin 100000000 1 19.813933
Sequential 100000000 1 10.886785
Parallel 100000000 1 11.960637
Builtin 100000000 1 19.812281
Sequential 100000000 1 10.944018
Parallel 100000000 1 11.964967
Builtin 100000000 1 19.801317
Sequential 100000000 1 10.991797
Parallel 100000000 1 12.054109
Builtin 100000000 1 20.435633
Sequential 100000000 1 11.331634
Parallel 100000000 1 12.292839
Builtin 100000000 1 19.913370
Sequential 100000000 1 10.920009
Parallel 100000000 1 11.941550
Builtin 100000000 1 19.863759
Sequential 100000000 1 10.911236
Parallel 100000000 1 11.967100
Builtin 100000000 1 19.922298
Sequential 100000000 1 10.930426
Parallel 100000000 1 12.007419
Builtin 100000000 1 20.545455
Sequential 100000000 1 11.288943
Parallel 100000000 1 12.178664
Builtin 100000000 1 20.051005
Parallel 100 2 0.000019
Parallel 100 2 0.000016
Parallel 100 2 0.000019
Parallel 100 2 0.000015
Parallel 100 2 0.000015
Parallel 100 2 0.000015
Parallel 100 2 0.000015
Parallel 100 2 0.000017
Parallel 100 2 0.000009
Parallel 100 2 0.000015
Parallel 100 4 0.000007
Parallel 100 4 0.000012
Parallel 100 4 0.000006
Parallel 100 4 0.000010
Parallel 100 4 0.000010
Parallel 100 4 0.000007
Parallel 100 4 0.000006
Parallel 100 4 0.000008
Parallel 100 4 0.000009
Parallel 100 4 0.000008
Parallel 1000 2 0.000090
Parallel 1000 2 0.000091
Parallel 1000 2 0.000089
Parallel 1000 2 0.000089
Parallel 1000 2 0.000095
Parallel 1000 2 0.000090
Parallel 1000 2 0.000136
Parallel 1000 2 0.000096
Parallel 1000 2 0.000094
Parallel 1000 2 0.000096
Parallel 1000 4 0.000083
Parallel 1000 4 0.000086
Parallel 1000 4 0.000084
Parallel 1000 4 0.000085
Parallel 1000 4 0.000085
Parallel 1000 4 0.000086
Parallel 1000 4 0.000085
Parallel 1000 4 0.000086
Parallel 1000 4 0.000085
Parallel 1000 4 0.000086
Parallel 10000 2 0.000949
Parallel 10000 2 0.000956
Parallel 10000 2 0.000959
Parallel 10000 2 0.000956
Parallel 10000 2 0.000921
Parallel 10000 2 0.000957
Parallel 10000 2 0.000923
Parallel 10000 2 0.000919
Parallel 10000 2 0.000914
Parallel 10000 2 0.000921
Parallel 10000 4 0.000891
Parallel 10000 4 0.000939
Parallel 10000 4 0.000881
Parallel 10000 4 0.000894
Parallel 10000 4 0.000886
Parallel 10000 4 0.000874
Parallel 10000 4 0.000886
Parallel 10000 4 0.000894
Parallel 10000 4 0.000882
Parallel 10000 4 0.000883
Parallel 100000 2 0.006967
Parallel 100000 2 0.006895
Parallel 100000 2 0.006611
Parallel 100000 2 0.006655
Parallel 100000 2 0.006301
Parallel 100000 2 0.006345
Parallel 100000 2 0.006045
Parallel 100000 2 0.006039
Parallel 100000 2 0.005839
Parallel 100000 2 0.005911
Parallel 100000 4 0.002992
Parallel 100000 4 0.002959
Parallel 100000 4 0.002966
Parallel 100000 4 0.002973
Parallel 100000 4 0.002948
Parallel 100000 4 0.002954
Parallel 100000 4 0.002957
Parallel 100000 4 0.002954
Parallel 100000 4 0.003581
Parallel 100000 4 0.003498
Parallel 1000000 2 0.070255
Parallel 1000000 2 0.080166
Parallel 1000000 2 0.096646
Parallel 1000000 2 0.075873
Parallel 1000000 2 0.117342
Parallel 1000000 2 0.096345
Parallel 1000000 2 0.107181
Parallel 1000000 2 0.059779
Parallel 1000000 2 0.068275
Parallel 1000000 2 0.083735
Parallel 1000000 4 0.033513
Parallel 1000000 4 0.032109
Parallel 1000000 4 0.032812
Parallel 1000000 4 0.033020
Parallel 1000000 4 0.032501
Parallel 1000000 4 0.037138
Parallel 1000000 4 0.028823
Parallel 1000000 4 0.028565
Parallel 1000000 4 0.035717
Parallel 1000000 4 0.029117
Parallel 10000000 2 0.922776
Parallel 10000000 2 0.690695
Parallel 10000000 2 0.615578
Parallel 10000000 2 0.675666
Parallel 10000000 2 0.682161
Parallel 10000000 2 0.941173
Parallel 10000000 2 1.086607
Parallel 10000000 2 0.969522
Parallel 10000000 2 0.830249
Parallel 10000000 2 0.809297
Parallel 10000000 4 0.358116
Parallel 10000000 4 0.456526
Parallel 10000000 4 0.454167
Parallel 10000000 4 0.488666
Parallel 10000000 4 0.478900
Parallel 10000000 4 0.481310
Parallel 10000000 4 0.546157
Parallel 10000000 4 0.414317
Parallel 10000000 4 0.422562
Parallel 10000000 4 0.372721
Parallel 100000000 2 6.910320
Parallel 100000000 2 8.312584
Parallel 100000000 2 7.616025
Parallel 100000000 2 8.379980
Parallel 100000000 2 10.929300
Parallel 100000000 2 11.661054
Parallel 100000000 2 8.311107
Parallel 100000000 2 6.311365
Parallel 100000000 2 6.648140
Parallel 100000000 2 9.736462
Parallel 100000000 4 6.413070
Parallel 100000000 4 7.653588
Parallel 100000000 4 5.291770
Parallel 100000000 4 5.083460
Parallel 100000000 4 4.619889
Parallel 100000000 4 5.295771
Parallel 100000000 4 6.535149
Parallel 100000000 4 4.749137
Parallel 100000000 4 6.917473
Parallel 100000000 4 6.295569
