Version Size Threads Time
Sequential 100 1 0.000005
Parallel 100 1 0.000015
Builtin 100 1 0.000010
Sequential 100 1 0.000005
Parallel 100 1 0.000016
Builtin 100 1 0.000011
Sequential 100 1 0.000005
Parallel 100 1 0.000015
Builtin 100 1 0.000011
Sequential 100 1 0.000005
Parallel 100 1 0.000017
Builtin 100 1 0.000010
Sequential 100 1 0.000005
Parallel 100 1 0.000019
Builtin 100 1 0.000014
Sequential 100 1 0.000005
Parallel 100 1 0.000017
Builtin 100 1 0.000013
Sequential 100 1 0.000005
Parallel 100 1 0.000017
Builtin 100 1 0.000010
Sequential 100 1 0.000005
Parallel 100 1 0.000019
Builtin 100 1 0.000015
Sequential 100 1 0.000005
Parallel 100 1 0.000018
Builtin 100 1 0.000015
Sequential 100 1 0.000005
Parallel 100 1 0.000016
Builtin 100 1 0.000014
Sequential 1000 1 0.000066
Parallel 1000 1 0.000096
Builtin 1000 1 0.000623
Sequential 1000 1 0.000065
Parallel 1000 1 0.000093
Builtin 1000 1 0.000260
Sequential 1000 1 0.000066
Parallel 1000 1 0.000096
Builtin 1000 1 0.000607
Sequential 1000 1 0.000066
Parallel 1000 1 0.000097
Builtin 1000 1 0.000417
Sequential 1000 1 0.000066
Parallel 1000 1 0.000087
Builtin 1000 1 0.000226
Sequential 1000 1 0.000065
Parallel 1000 1 0.000095
Builtin 1000 1 0.000240
Sequential 1000 1 0.000066
Parallel 1000 1 0.000088
Builtin 1000 1 0.000209
Sequential 1000 1 0.000065
Parallel 1000 1 0.000095
Builtin 1000 1 0.000589
Sequential 1000 1 0.000065
Parallel 1000 1 0.000094
Builtin 1000 1 0.000219
Sequential 1000 1 0.000065
Parallel 1000 1 0.000095
Builtin 1000 1 0.000543
Sequential 10000 1 0.000835
Parallel 10000 1 0.001016
Builtin 10000 1 0.001941
Sequential 10000 1 0.000837
Parallel 10000 1 0.001020
Builtin 10000 1 0.001578
Sequential 10000 1 0.000832
Parallel 10000 1 0.001009
Builtin 10000 1 0.001927
Sequential 10000 1 0.000836
Parallel 10000 1 0.001019
Builtin 10000 1 0.001585
Sequential 10000 1 0.000833
Parallel 10000 1 0.001009
Builtin 10000 1 0.001942
Sequential 10000 1 0.000837
Parallel 10000 1 0.001026
Builtin 10000 1 0.001721
Sequential 10000 1 0.000835
Parallel 10000 1 0.001006
Builtin 10000 1 0.001916
Sequential 10000 1 0.000835
Parallel 10000 1 0.001008
Builtin 10000 1 0.002019
Sequential 10000 1 0.000834
Parallel 10000 1 0.001008
Builtin 10000 1 0.001933
Sequential 10000 1 0.000832
Parallel 10000 1 0.001029
Builtin 10000 1 0.002004
Sequential 100000 1 0.010173
Parallel 100000 1 0.011789
Builtin 100000 1 0.018384
Sequential 100000 1 0.010201
Parallel 100000 1 0.011789
Builtin 100000 1 0.018408
Sequential 100000 1 0.010187
Parallel 100000 1 0.011796
Builtin 100000 1 0.018062
Sequential 100000 1 0.010181
Parallel 100000 1 0.011804
Builtin 100000 1 0.018780
Sequential 100000 1 0.010178
Parallel 100000 1 0.011804
Builtin 100000 1 0.018323
Sequential 100000 1 0.010186
Parallel 100000 1 0.011855
Builtin 100000 1 0.018082
Sequential 100000 1 0.010212
Parallel 100000 1 0.011796
Builtin 100000 1 0.018121
Sequential 100000 1 0.010188
Parallel 100000 1 0.011809
Builtin 100000 1 0.018821
Sequential 100000 1 0.010205
Parallel 100000 1 0.011812
Builtin 100000 1 0.018076
Sequential 100000 1 0.010174
Parallel 100000 1 0.011826
Builtin 100000 1 0.018163
Sequential 1000000 1 0.121414
Parallel 1000000 1 0.136829
Builtin 1000000 1 0.216831
Sequential 1000000 1 0.121627
Parallel 1000000 1 0.136921
Builtin 1000000 1 0.217058
Sequential 1000000 1 0.121448
Parallel 1000000 1 0.136652
Builtin 1000000 1 0.217047
Sequential 1000000 1 0.121971
Parallel 1000000 1 0.138240
Builtin 1000000 1 0.217537
Sequential 1000000 1 0.121971
Parallel 1000000 1 0.138156
Builtin 1000000 1 0.217113
Sequential 1000000 1 0.121222
Parallel 1000000 1 0.137340
Builtin 1000000 1 0.217287
Sequential 1000000 1 0.121286
Parallel 1000000 1 0.137494
Builtin 1000000 1 0.217865
Sequential 1000000 1 0.122613
Parallel 1000000 1 0.138299
Builtin 1000000 1 0.217473
Sequential 1000000 1 0.122381
Parallel 1000000 1 0.138058
Builtin 1000000 1 0.217654
Sequential 1000000 1 0.120327
Parallel 1000000 1 0.135786
Builtin 1000000 1 0.217050
Sequential 10000000 1 1.408886
Parallel 10000000 1 1.562557
Builtin 10000000 1 2.567410
Sequential 10000000 1 1.412541
Parallel 10000000 1 1.567835
Builtin 10000000 1 2.564970
Sequential 10000000 1 1.400552
Parallel 10000000 1 1.557260
Builtin 10000000 1 2.564444
Sequential 10000000 1 1.411646
Parallel 10000000 1 1.567842
Builtin 10000000 1 2.566739
Sequential 10000000 1 1.431170
Parallel 10000000 1 1.587998
Builtin 10000000 1 2.563512
Sequential 10000000 1 1.441710
Parallel 10000000 1 1.747654
Builtin 10000000 1 2.953423
Sequential 10000000 1 1.403421
Parallel 10000000 1 1.560686
Builtin 10000000 1 2.564212
Sequential 10000000 1 1.397174
Parallel 10000000 1 1.553622
Builtin 10000000 1 2.564633
Sequential 10000000 1 1.420208
Parallel 10000000 1 1.575553
Builtin 10000000 1 2.565572
Sequential 10000000 1 1.399141
Parallel 10000000 1 1.558028
Builtin 10000000 1 2.568758
Sequential 100000000 1 16.066385
Parallel 100000000 1 17.652176
Builtin 100000000 1 29.766150
Sequential 100000000 1 16.124418
Parallel 100000000 1 17.706285
Builtin 100000000 1 29.604844
Sequential 100000000 1 16.088079
Parallel 100000000 1 17.651456
Builtin 100000000 1 29.953109
Sequential 100000000 1 16.168958
Parallel 100000000 1 17.646136
Builtin 100000000 1 31.417735
Sequential 100000000 1 16.066944
Parallel 100000000 1 17.629592
Builtin 100000000 1 30.037679
Sequential 100000000 1 16.157291
Parallel 100000000 1 17.665303
Builtin 100000000 1 29.781698
Sequential 100000000 1 16.194657
Parallel 100000000 1 17.776096
Builtin 100000000 1 29.808326
Parallel 100 2 0.000028
Parallel 100 2 0.000012
Parallel 100 2 0.000012
Parallel 100 2 0.000012
Parallel 100 2 0.000011
Parallel 100 2 0.000011
Parallel 100 2 0.000011
Parallel 100 2 0.000011
Parallel 100 2 0.000011
Parallel 100 2 0.000011
Parallel 100 4 0.000012
Parallel 100 4 0.000010
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000010
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000011
Parallel 100 4 0.000009
Parallel 100 8 0.000008
Parallel 100 8 0.000008
Parallel 100 8 0.000009
